fold,val_trajectories,train_samples,val_samples,val_r2,val_mae,val_rmse,val_r2_log_domain
1,racing_vmax5_yaw_free,5151,1512,0.26426051809483864,0.06452331327035062,0.07147285036677621,0.23192286642397764
2,racing_vmax5_yaw_fixed_0deg,5151,1512,0.010667582184294866,0.057207081880875345,0.06931365129056247,0.03572760067944747
3,circle,5663,1000,-0.07238329232932417,0.01778190007539255,0.022933255753405827,-0.027756074435370648
4,figure8|racing_vmax10_yaw_free,5507,1156,0.744709637030448,0.07969222590312604,0.1142237561693817,0.7530782871754022
5,racing_vmax10_yaw_fixed_0deg|sun_ellipse,5180,1483,0.7301924872575363,0.07616196936556956,0.1080716995643976,0.7299886335436794
mean,all,,,0.3354893864475587,0.059073298099062824,0.07720304262890476,0.3445922626774272
std,all,,,0.3464663416785,0.022159999316486264,0.032752693259058094,0.33529874778201807
