time,px,py,pz,qx,qy,qz,qw,vx_b,vy_b,vz_b,wx_b,wy_b,wz_b,ref_px,ref_py,ref_pz,ref_qx,ref_qy,ref_qz,ref_qw,ref_vx_b,ref_vy_b,ref_vz_b,ref_wx_b,ref_wy_b,ref_wz_b,u0,u1,u2,u3,u4,u5,cmd_wx,cmd_wy,cmd_wz,cmd_thrust_norm,solve_ms
0.02,-4.7722603994360195,4.2408973473756575,5.1882527136485095,0.0006547394759490862,-0.0007150273174272937,0.019535769821696723,0.9998086885747832,-0.015637661704148494,0.015879742394878903,0.0018494224606452503,-0.007266983899596746,0.011071031602122455,-0.0017982682484533215,-4.997925200212436,4.494685993880268,5.201978773185093,0.15942732618051728,0.06061242107671775,0.009808181625336143,0.9852983617419416,0.023056171293490784,-0.06277551587337353,0.05316556656101257,-0.08911259819236186,-0.015128310120215442,-0.010902723017051598,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.04,-4.772587242804904,4.241198797334783,5.188293061251592,0.0005605007428423005,-0.0006001244791595586,0.019516646651063986,0.9998091948932178,-0.01582235576961235,0.015545624391898686,0.0021828914378709467,-0.011041888062058277,0.012153025486962033,-0.001991468116467176,-4.995851393766212,4.489375109629982,5.203966946673679,0.1586081838200607,0.06048219093780254,0.009735916889832169,0.9854392728763043,0.04611234258698157,-0.12555103174674706,0.10633113312202513,-0.0955809597770784,-0.016222633400477957,-0.011658449131059203,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.06,-4.772903965489866,4.241488077977571,5.188669036039701,0.002939360051937535,0.00033282785141779456,0.01949230188561392,0.9998056308879776,-0.01639022922997834,0.01669498795162492,0.04808749346525415,0.6856217196076364,0.22737887965507583,-0.004183220004999432,-4.993778582894512,4.48406736298615,5.205964514988435,0.15778892836685623,0.06035191767313552,0.009663645212305607,0.9855794813606992,0.06916851388047236,-0.1883265476201206,0.1594966996830377,-0.10204932136179491,-0.017316956680740472,-0.012414175245066807,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.08,-4.773244806322173,4.241797375586267,5.190618925208914,0.016886693626395353,0.00516943510883622,0.01942447196172326,0.9996553438100715,-0.01751589840252749,0.019554249614366574,0.14850158527640173,2.0350850278873738,0.667616256571222,-0.010550060322982429,-4.991706769827686,4.478762769676832,5.207971472625238,0.15696956040505947,0.06022160137560573,0.009591366644288498,0.9857189870951533,0.09222468517396314,-0.2511020634934941,0.21266226624405027,-0.10851768294651144,-0.018411279961002988,-0.013169901359074412,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.1,-4.773541874815962,4.2419325009106625,5.195313602180521,0.043089527902851116,0.01472832299352047,0.019281516379466,0.9987765476887294,-0.018939409491454923,0.022313032951637137,0.2922859065244498,2.8132618143732393,0.9935514496557559,-0.019105292894549437,-4.989635956793235,4.473461345421093,5.209987814053188,0.1561500805189061,0.06009124213813286,0.009519081237317787,0.9858577899801942,0.11528085646745395,-0.3138775793668677,0.2658278328050629,-0.11498604453122799,-0.019505603241265504,-0.013925627473082016,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.12,-4.773631107729091,4.241523944719593,5.202564801956931,0.07230711504720977,0.02605166982312071,0.019061841376120603,0.9968598887588607,-0.02005512919421101,0.02303451139499036,0.41828757915645903,3.0212231445111284,1.1366635005823356,-0.02899415336676968,-4.9875661460158085,4.46816310592896,5.212013533714621,0.1553304892927118,0.05996084005366729,0.009446789042935303,0.9859958899168514,0.13833702776094473,-0.3766530952402412,0.3189933993660754,-0.12145440611594449,-0.02059992652152802,-0.01468135358708962,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.14,-4.773432705077608,4.240391406182373,5.211242735869771,0.10066740484366644,0.0375027144498089,0.018777827232500606,0.994035720291461,-0.01944354529669868,0.01854913282304102,0.4892763445335879,3.0095798906320295,1.148177273044197,-0.03757742936972948,-4.985497339717197,4.462868066901378,5.214048626025125,0.1545107873108714,0.05983039521518989,0.009374490112687707,0.9861332868066548,0.16139319905443553,-0.43942861111361486,0.372158965927088,-0.12792276770066102,-0.021694249801790532,-0.015437079701097225,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.16,-4.772791178959454,4.238037839334404,5.222107226157323,0.13305444116022477,0.05065584306339859,0.018336981088820502,0.9896434996379377,-0.014748939725384956,0.0029236813036697396,0.510738765406306,2.9619506314479374,1.1369646242442883,-0.04659193639263435,-4.979648914439083,4.4480691082166866,5.219432253088435,0.15284533810668738,0.05956498373252822,0.009232659751648581,0.9864101952666073,0.1842826544742766,-0.49916569160666935,0.41751954597785934,-0.1352700660500901,-0.022929293659051938,-0.016243814959349547,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.18,-4.771930928091088,4.235279715757665,5.2306678617900975,0.15868716031117155,0.0610558100139336,0.01788483548448973,0.9852769691186392,-0.006490802973098821,-0.021047079528748264,0.49060195252023997,2.851436731279635,1.0784627550175476,-0.0533798728963773,-4.973532213038443,4.432599397672167,5.225113970317479,0.15111813418884132,0.05928961079700447,0.009085762439188537,0.9866942284678276,0.20716002781080428,-0.5586825733351807,0.46231449004441216,-0.14268106191665406,-0.024174535691795913,-0.017054246906567462,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.2,-4.770610579854905,4.231321417878861,5.239208332265332,0.18576346907443994,0.07190607379059291,0.017276198500643943,0.97980762554433,0.007780973775906488,-0.060478775856653705,0.45844839835343776,2.7056889183815667,1.017226500606657,-0.06024694988821242,-4.967421414682861,4.417148651849232,5.230853350771773,0.1493904525386222,0.05901405042820796,0.008938836403750445,0.9869751424155067,0.23003740114733195,-0.6181994550636921,0.507109434110965,-0.15009205778321802,-0.02541977772453989,-0.017864678853785378,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
