time,px,py,pz,qx,qy,qz,qw,vx_b,vy_b,vz_b,wx_b,wy_b,wz_b,ref_px,ref_py,ref_pz,ref_qx,ref_qy,ref_qz,ref_qw,ref_vx_b,ref_vy_b,ref_vz_b,ref_wx_b,ref_wy_b,ref_wz_b,u0,u1,u2,u3,u4,u5,cmd_wx,cmd_wy,cmd_wz,cmd_thrust_norm,solve_ms
0.021,-4.861104319997126,4.435849339333704,1.2002967129784197,-0.0007419403764236371,-0.0027909775086317847,-0.0012981648836433192,-0.9999949873559162,-0.024053500774044192,0.022009606559300426,0.0018930951017116814,0.008155815693737023,-0.015737061457626468,6.931674233174554e-05,-4.999937679781327,4.500012320401222,1.2048786340113606,0.026743926534590828,0.015513878564667015,0.00047811228139966566,0.999521812355308,0.0018833403042964763,0.002803505874784349,0.28720546463061264,0.857872070729599,0.24554586966037392,0.03735892525752975,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.041,-4.861590250041317,4.4363052847818025,1.2016522601099622,-0.0015454355003871863,-0.003051481767812311,-0.001295925588070625,-0.9999933103101265,-0.022971542366552206,0.02193609803773873,0.14404892722887683,0.1636438729020917,0.07763428873371193,-0.00015044884140142636,-4.999856604648272,4.499953821671214,1.2095242750884991,0.03411445049117614,0.017793067312959317,0.0006959206192040562,0.999259289032518,0.004859580973638968,0.0023098150563374913,0.3395324774795091,0.9734089647605151,0.2620116898674918,0.047129856826768284,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.061,-4.861986864254573,4.43669961265777,1.2063039066785202,-0.004169120372196438,-0.0044186541210531035,-0.0012867232551159687,-0.9999807189512934,-0.022489108464667184,0.022706808000693773,0.3392459917196874,0.3749061800963239,0.20182727237585693,-0.0005606450229535132,-4.9997543195332,4.4998268288521555,1.2141681298316358,0.04148294000918194,0.020071194959517077,0.0009136874553065113,0.998937174198821,0.00783582164298146,0.0018161242378906333,0.3918594903284055,1.088945858791431,0.2784775100746097,0.05690078839600682,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.081,-4.862349071596177,4.437066853237478,1.2159783545461227,-0.009131867563983006,-0.0071442273835054144,-0.0012666705755396553,-0.9999319799644073,-0.0228686546220726,0.02510924521418964,0.5687776287247464,0.53749885285207,0.2988282546108266,-0.0012400153286987103,-4.999630812585302,4.499631383440905,1.2188090913075857,0.04884895566369793,0.022348125646640512,0.0011313998030328704,0.9985554870637554,0.010812062312323952,0.001322433419443775,0.44418650317730196,1.2044827528223472,0.2949433302817276,0.06667171996524536,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.101,-4.862579962810809,4.43727491469752,1.2293624161788868,-0.014892134173482306,-0.010429002466061914,-0.0012390234809948946,-0.9998339487475585,-0.023973468908064167,0.02844405783864763,0.7487524734203395,0.606350873607046,0.3496143914237923,-0.00204746452229259,-4.999079709687762,4.499148607032422,1.227711217453684,0.060956041044187545,0.02528506127697303,0.0016728428339401334,0.9978187352086009,0.01552563609139149,-0.0003451522389588056,0.5202847879278271,1.34575364336637,0.3064902544869221,0.08156873499223842,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.121,-4.862671695791106,4.43728728055808,1.2456262716703648,-0.021239169298417588,-0.01412516854367134,-0.0012022929597007126,-0.9996739127299287,-0.025295424392705913,0.031970586004321566,0.855125514831727,0.6592753001434563,0.38472266248106635,-0.00300094750321172,-4.9979317530338765,4.497998743299532,1.241959215543224,0.07902921310200481,0.02904921646247864,0.0026221666984717,0.9964455081644954,0.02243025678205314,-0.0034932016318194935,0.6263623389417865,1.5194791007792299,0.3118336867807855,0.10293053749482634,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.141,-4.862625214575625,4.437100936409894,1.262285177629139,-0.02782202366580621,-0.017929775077647363,-0.001156709605425563,-0.9994514096181429,-0.02610646890555523,0.03468835400526564,0.885586603351896,0.728633985846417,0.41177390219930626,-0.003889327708103656,-4.996674740788957,4.496334837861442,1.2561471251691048,0.09707523108725147,0.0328033904713917,0.0035705895986379663,0.9947299070465592,0.029334877472714793,-0.006641251024680181,0.732439889955746,1.69320455819209,0.31717711907464896,0.12429233999741426,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.161,-4.862438032851926,4.436693890659748,1.2798901825259095,-0.03559165616856784,-0.022173789318712844,-0.0010903574107813706,-0.9991197967206659,-0.02584188508033289,0.03637489697137163,0.8715577358658878,0.8400544794982252,0.43860696972473634,-0.004971108746806639,-4.995308457874397,4.494159580439208,1.2702555257441999,0.11508789447150584,0.036546293386864,0.004517785660711386,0.9926725213274117,0.03623949816337645,-0.009789300417540872,0.8385174409697057,1.8669300156049502,0.32252055136851243,0.1456541425000022,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.181,-4.862084343028059,4.436026116708891,1.2973435495889265,-0.045445795826958235,-0.026897417050704708,-0.0009818449067143242,-0.9986041480878368,-0.024746087712009073,0.038785952279021534,0.8858561681774466,1.1748716214345871,0.5121335206560796,-0.006248913459334978,-4.993832839378281,4.49147636348624,1.2842651059477668,0.133061014186833,0.04027663916474297,0.00546342943250031,0.9902740579152827,0.0431441188540381,-0.01293734981040156,0.9445949919836651,2.0406554730178104,0.32786398366237585,0.16701594500259012,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.201,-4.86145831280447,4.434910206574254,1.3159433865240144,-0.05989755610418961,-0.03257405929795927,-0.000774854358209951,-0.9976725981173995,-0.0240956625377292,0.04691608411245053,0.9753373961807562,1.6791098971733875,0.612053745483362,-0.008310855547910972,-4.990752660742556,4.485173238397467,1.306011155248734,0.1555317713619155,0.04304944465326026,0.006996909912359722,0.9868675983452638,0.05391136907376254,-0.028589033994604388,1.0536674188775101,2.063667772821331,0.304970609758675,0.17794740101379453,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.221,-4.860378354379565,4.432974236084552,1.337724793901615,-0.07967796513688692,-0.03941969663742747,-0.0004329780091144579,-0.9960408234197541,-0.023995057730028885,0.0613030900889384,1.1049664230084766,2.0389891799385045,0.6736424482277039,-0.011414055698540745,-4.987241751118052,4.477213244120458,1.3289632760736763,0.178817845015948,0.04561140196699064,0.008643481119647425,0.9827863799160997,0.06544464515887823,-0.04672040399633323,1.1633337811644253,2.0567910614952867,0.2764773915673905,0.1868103399339147,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.241,-4.858838117631765,4.430109364903843,1.3609304936154174,-0.10078024385998703,-0.04613357793491196,-1.1671440555181172e-06,-0.9938385358965927,-0.023310962027375592,0.07689229767452324,1.2297400433134165,2.1963590054405557,0.6744329234043545,-0.014469413960636127,-4.983594222299671,4.468183960014439,1.3514944857104467,0.20200231930722654,0.04814744414135814,0.010285141339591259,0.9781467693985298,0.07697792124399391,-0.06485177399806206,1.2730001434513403,2.0499143501692427,0.24798417337610595,0.19567327885403485,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.261,-4.8566977299929945,4.425942206014486,1.3866281951307649,-0.1235933427710419,-0.05275450740543838,0.0005506130113323638,-0.9909295355353988,-0.021622071074917648,0.09446372178257476,1.371180412925883,2.398591391644316,0.6505655242970348,-0.017356585463846136,-4.97981018291588,4.458106806258041,1.3735539477110492,0.22507202145753344,0.05065613026721407,0.011920957826177034,0.9729514028911603,0.08851119732910961,-0.08298314399979093,1.3826665057382554,2.0430376388431983,0.21949095518482137,0.20453621777415504,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.281,-4.854008908801078,4.420457735741376,1.4135019261417656,-0.147496391001298,-0.05883482018851022,0.00124550873067512,-0.9873103500333517,-0.019044993412157957,0.11586660239528601,1.5062766489224493,2.658234133948506,0.6407378661133998,-0.02005862812158532,-4.975338095209058,4.445146438201729,1.3966966881811975,0.24667558879886176,0.052777113793979674,0.013476554448024062,0.9675660766224298,0.1006805455009863,-0.10932942957877652,1.493513983729382,1.9945214517442713,0.19522724113699702,0.2077210264290826,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.301,-4.850496489095223,4.4129795412697685,1.4435917634151079,-0.17428363736968133,-0.0648040774304965,0.0021661071649098536,-0.9825583714331306,-0.014071335698447623,0.13928345176308726,1.5903368769623654,2.759693933778382,0.5765252147314694,-0.022762703609007173,-4.968881243480041,4.424854804934398,1.4246589046797844,0.2636154811862771,0.053652630403032746,0.014776237554571513,0.9630212542480534,0.11501892409745254,-0.16368889509973888,1.6083891119675753,1.804013041287053,0.18538629985193994,0.1915431912008282,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
0.321,-4.8463553105665245,4.403807916260897,1.4744144819029765,-0.20167244629363046,-0.070204057676176,0.003248214224183777,-0.9769283821223012,-0.006014829797412136,0.15806307512487505,1.6258809307490716,2.8069383113743513,0.5274023627461296,-0.024858383677864054,-4.962342873574824,4.403601900113483,1.4518782107340524,0.28047363403936665,0.054511510883567246,0.016071338977329513,0.9581778268429185,0.12935730269391882,-0.21804836062070143,1.723264240205769,1.6135046308298342,0.17554535856688283,0.17536535597257377,0.0,0.0,0.0,0.0,nan,nan,0.0,0.0,0.0,0.0,0.0
