t,p_x,p_y,p_z,v_x,v_y,v_z
0.0,-5.0,4.5,1.2,-8.402603284725507e-33,-7.509026983167073e-33,-3.115719352937953e-35
0.09877517442839114,-4.989525850362787,4.457098047723407,1.2146784481532742,0.21208061025289737,-0.8686788461720545,0.2972092579469897
0.19755034885678227,-4.958220650963987,4.332870208824974,1.2573085165902325,0.4217871520630276,-1.6466867731214454,0.5659644832325039
0.2963255232851734,-4.906318912812527,4.136272535185241,1.3250795920192797,0.6291193827905653,-2.334023456514001,0.8062644357321155
0.39510069771356454,-4.834055168148485,3.876261103498925,1.415180941748064,0.8340771151815002,-2.9306887182388435,1.0181079379066598
0.49387587214195566,-4.74166396519247,3.5617920047461857,1.5248017345010283,1.0366602129117768,-3.4366824471505386,1.2014941711493627
0.5926510465703468,-4.629379863353497,3.201821339179235,1.6511310733663378,1.2368685857595365,-3.8520045666507245,1.3564226250397071
0.691426220998738,-4.49743742892465,2.80530521376489,1.791358021916092,1.4347021845561418,-4.176655017377969,1.482893009860968
0.7902013954271291,-4.346071231280474,2.3811997410337304,1.9426716226075458,1.6301609960758385,-4.410633746036568,1.5809051877866263
0.8889765698555202,-4.175515839574557,1.9384610388765955,2.1022609092120192,1.8232450380184222,-4.553940697385979,1.6504591207649626
0.9877517442839113,-3.986005819922352,1.4860452310255285,2.2673149145906697,2.013954354200999,-4.606575808392391,1.6915548284164428
1.0865269187123026,-3.7777757330457957,1.0329084480207784,2.4350226746074215,2.20228901001565,-4.568539004235499,1.7041923519201918
1.1853020931406937,-3.5510601323537503,0.5880068284846864,2.6025732286730228,2.388249088147193,-4.4398301960877795,1.688371721913565
1.2840772675690848,-3.3060935624354384,0.16029652052890417,2.767155617272878,2.5718346844927162,-4.220449280635608,1.6440929295189632
1.382852441997476,-3.043110557951578,-0.2412663168753911,2.925958876776138,2.753045904189387,-3.910396141307405,1.5713559002670028
1.481627616425867,-2.7623456429178774,-0.607725512731028,3.076172031832092,2.9318828576418503,-3.5096706511710596,1.4701604713201877
1.5804027908542582,-2.4640333303860684,-0.9301248832181264,3.2149840857486756,3.1083456564454455,-3.0182726775234365,1.3405063733906797
1.6791779652826493,-2.1484081225366634,-1.1995082314483358,3.3395840094747387,3.282434409126052,-2.4362020884567785,1.1823932205510732
1.7779531397110404,-1.8157045112032566,-1.406919348021914,3.4471607302760137,3.454149216662383,-1.7634587625484444,0.9958205142219971
1.8767283141394315,-1.4661569788480975,-1.5434020128935322,3.5349031220134015,3.623490167826128,-1.0000426056706628,0.7807876716291633
1.9755034885678227,-1.1,-1.6,3.6,3.7904573344803687,-0.14595359010502834,0.5372940900588054
2.0939937932027597,-0.6397210800445362,-1.5565599415818614,3.6459949652386956,3.978598900758045,0.8791791251456129,0.23905576092580985
2.212484097837697,-0.1584209587817343,-1.3980271470816192,3.6579448635958896,4.145274572724777,1.7966987886447772,-0.03735321097663779
2.330974402472634,0.34135686791606534,-1.1371527248892408,3.6384362524242215,4.290484425973836,2.6066053142148875,-0.2919329916278191
2.4494647071075715,0.8570689124693632,-0.7866877971988988,3.590055672232152,4.41422852488445,3.3088985550297916,-0.5246836993697833
2.5679550117425087,1.386171693194786,-0.35938350744429265,3.5153896528612187,4.516506904598471,3.9035782994099755,-0.7356053959149905
2.686445316377446,1.9261217301459923,0.13200897214715454,3.4170247197606662,4.597319559295913,4.3906442730207,-0.9246980936946397
2.804935621012383,2.474375539896962,0.6747384334331177,3.2975473991133386,4.65666643606743,4.770096143982901,-1.0919617679001896
2.92342592564732,3.0283896298882333,1.2560536259557749,3.1595442215741154,4.69454743366451,5.041933529925306,-1.2373963678607547
3.0419162302822573,3.585620492871007,1.8632032514889298,3.0056017248204485,4.710962405400948,5.206156006929291,-1.3610018257166556
3.160406534917194,4.143524601897984,2.48343595977635,2.8383064552636545,4.705911165479567,5.262763120691063,-1.462778061911452
3.2788968395521314,4.699558406224126,3.104000345753461,2.6602449692817687,4.679393498023996,5.211754400397685,-1.5427249877756655
3.3973871441870687,5.251178328395735,3.712144948608986,2.4740038342788124,4.631409168104531,5.053129375908215,-1.6008425058729068
3.515877448822006,5.7958407627226896,4.295118253116323,2.2821696297832625,4.561957934058513,4.786887598884318,-1.6371305089920354
3.634367753456943,6.331002075246556,4.8401686937416635,2.0873289486877926,4.471039560418938,4.413028668529104,-1.6515888787703616
3.7528580580918804,6.854118605236962,5.334544662112067,1.8920683986111764,4.358653830781168,3.9315522625621377,-1.644217485008471
3.8713483627268177,7.362646668170495,5.765494518496545,1.698974603221674,4.224800559959907,3.3424581739809995,-1.6150161870055075
3.989838667361755,7.854042560071737,6.12026660801249,1.5106342031358477,4.069479604823297,2.645746354060157,-1.5639848393904394
4.108328971996692,8.325762563026815,6.386109282321571,1.3296338554862106,3.89269087324977,1.8414169620101721,-1.4911233087599913
4.226819276631629,8.775262951620126,6.550270927642417,1.1585602300916547,3.6944343307529506,0.9294704219412062,-1.3964315143834265
4.345309581266566,9.2,6.6,1.0,3.474710004472304,-0.09009251195026335,-1.2799094824922663
4.455587616390111,9.570808441947843,6.537160776543468,0.8654703417992797,3.2502636835366028,-1.0495582461906816,-1.1599174179638398
4.565865651513655,9.91576680492494,6.372869973033543,0.7443254583901893,3.005893545321717,-1.9300161191378755,-1.037163503778431
4.6761436866372,10.232677938534787,6.115840409688419,0.6368699459275554,2.7415997533329355,-2.731466339188895,-0.9116472898977277
4.786421721760745,10.519344712920136,5.774784895067379,0.5434084779353981,2.4573825165668453,-3.453908909332459,-0.7833678232452302
4.896699756884289,10.77357002267453,5.358416242171586,0.4642458306047717,2.1532420694728014,-4.097343745995902,-0.6523241949993223
5.006977792007834,10.993156788608758,4.8754472725651885,0.3996868673284091,1.8291786530897385,-4.661770777429928,-0.5185157325579779
5.1172558271313795,11.175907957519772,4.334590812948069,0.35003650968976663,1.4851924976822783,-5.147189982215439,-0.3819420532283622
5.227533862254924,11.319626500158348,3.744559688600107,0.31559970621380956,1.1212838074370317,-5.553601407494316,-0.24260305112768263
5.337811897378469,11.422115407665077,3.114066715327764,0.29668140477581606,0.7374527479880637,-5.881005177901311,-0.10049884394132591
5.448089932502014,11.481177686838535,2.4518246908420145,0.293586532226745,0.33369943771127186,-6.129401496946353,0.04437030471175163
5.558367967625559,11.49461635470986,1.7665463864325972,0.3066199832604912,-0.089976056150587,-6.298790640259812,0.19200407525068242
5.668646002749103,11.46023443301708,1.0669445398937736,0.33608661936932444,-0.5335737154318693,-6.3891729396519,0.34240218511498416
5.778924037872648,11.375834943287678,0.3617318507640245,0.38229127780888633,-0.9970935620717035,-6.400548757090148,0.49556447731017506
5.889202072996193,11.239220903326617,-0.34037902098397516,0.44553878965319493,-1.4805356415989677,-6.332918448150497,0.6514909967137384
5.999480108119737,11.04819532593931,-1.0306754516548724,0.5261340050417539,-1.9838999991172714,-6.1862823151707795,0.8101820442016107
6.109758143243282,10.800561220660029,-1.7004448448686909,0.624381822467464,-2.507186648816723,-5.960640551206571,0.9716381958041346
6.220036178366827,10.494121599073932,-2.3409746160289076,0.7405872172450076,-3.05039553929064,-5.655993176925471,1.1358602686884627
6.330314213490372,10.126679483989168,-2.9435521696207108,0.8750552613948026,-3.6135265183977205,-5.272339973683812,1.302849199494469
6.440592248613917,9.696037922213064,-3.4994648691491927,1.0280911206188312,-4.196579303037885,-4.809680416970106,1.4726057505500585
6.550870283737462,9.2,-4.0,1.2,-4.799553460923985,-4.2680136146045795,1.6451298737337854
6.6592885407363305,8.648805465393892,-4.4327168269669714,1.3866972918456557,-5.368374895831283,-3.7143472660085886,1.798889555475243
6.7677067977352,8.03960080190669,-4.8073296403974135,1.5882021911294726,-5.869670809695075,-3.1961643692936734,1.9182869579886324
6.876125054734069,7.379706977121462,-5.127685497023101,1.8007891441227222,-6.303441787390798,-2.7134649746579687,2.003321060783382
6.9845433117329385,6.676444907828774,-5.397631441592489,2.020732493080411,-6.669688180984711,-2.2662488107989365,2.053990965590535
7.092961568731807,5.937135482218476,-5.621014478010594,2.2443064953244485,-6.968410166000431,-1.8545153955549005,2.0702960039425786
7.201379825730676,5.16909957597591,-5.80168155136612,2.4677853440996156,-7.1996077975940445,-1.4782641260953178,2.052235662295671
7.309798082729546,4.37965806254794,-5.943479538761363,2.6874431839174227,-7.363281061924555,-1.137494351110392,1.9998095552280308
7.418216339728414,3.576131818243255,-6.050255247092036,2.8995541245280827,-7.459429920072126,-0.8322054268225711,1.9130174269344662
7.526634596727284,2.765841723047078,-6.1258554161167735,3.100392255172304,-7.488054343172229,-0.5623967585498835,1.7918591548927816
7.635052853726153,1.9561086581365577,-6.174126725350158,3.286231658711213,-7.449154338140963,-0.3280678296720861,1.6363347439486173
7.7434711107250225,1.1542535011321875,-6.198915803518898,3.4533464243325955,-7.3427299637104335,-0.12921821994461014,1.4464443059682899
7.851889367723891,0.3675971201435473,-6.204069239530536,3.598010657151317,-7.168781336632447,0.03415238491565171,1.2221880228941437
7.960307624722761,-0.3965396323181012,-6.193433594105311,3.7164984828858136,-6.927308627929578,0.162044190584101,0.9635660928599439
8.06872588172163,-1.130835924471871,-6.170855411403994,3.8050840458794255,-6.618312049020228,0.25445729684959045,0.6705786613110514
8.177144138720498,-1.8279709483315196,-6.140181230140933,3.8600414990872878,-6.241791827449362,0.3113917043897634,0.3432257416769556
8.285562395719367,-2.48062391955549,-6.10525759379939,3.877644985237738,-5.797748171866035,0.3328473245555663,-0.01849286810082644
8.393980652718238,-3.0814740728996486,-6.06993105966586,3.854168609070619,-5.28618122593067,0.318823991372346,-0.4145776666974642
8.502398909717106,-3.6232006520850324,-6.038048206474086,3.785886401402556,-4.707091011384277,0.26932147518464883,-0.8450295190407453
8.610817166715975,-4.098482893031229,-6.0134556405019675,3.669072277779487,-4.060477362598298,0.18433949754986148,-1.3098496865236318
8.719235423714844,-4.5,-6.0,3.5,-3.34633986124355,0.0638777471213874,-1.80903974383775
8.768995857814447,-4.657991647149849,-5.998292578528988,3.404357728671582,-3.0037513339046913,0.00474791864072916,-2.0350694575273436
