t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,u_1,u_2,u_3,u_4
0.0,-4.999999999999994,4.499999999999973,1.1999999999999997,3.1383106023342085e-15,-2.7609215831279882e-14,2.1304898312279544e-15,1.000000008391682,-6.505168995154514e-14,-1.0213094651157964e-12,-1.1666818640602437e-13,-5.340191519300033e-16,-1.3955139578493983e-14,-2.413147971299055e-16,6.017543584227669,7.6037831597558805,5.464943088825289,4.665091955334374
0.0438516832967563,-4.99991761600509,4.4998794124520565,1.20316826568213,0.007511390463170997,-0.010996974659771543,0.14426768721153602,0.9993960291816136,0.028695081850290776,0.019611862294910465,-0.0003779760639152774,2.617993831320254,1.7892649720949987,-0.03448454234800154,6.522277808667552,6.6266397331760425,6.503483111618964,6.645434454120661
0.0877033665935126,-4.998680565357045,4.498065108747826,1.2139157656748063,0.057055368118824924,-0.0838095138997172,0.34387392528800115,0.994585514696036,0.0859430019266791,0.05843818453453426,-0.0012650478215006711,2.6179938134012555,1.76106296258107,-0.04528587180499202,7.462027129011984,6.884243730117259,6.888773270551298,7.457497647605464
0.1315550498902689,-4.99408074100364,4.491217485161635,1.234297439776225,0.15912871376128884,-0.24134017653982395,0.5817163658959388,0.985888228800098,0.14278188527271302,0.08735435761631277,-0.003269399911627825,2.6179937691382866,0.9013306157499237,-0.044888641335863205,7.80566257935175,7.338818008319241,7.381640959552103,7.762839752181276
0.1754067331870252,-4.98420053117648,4.47551918373135,1.2653250397724218,0.2939584783840255,-0.4877583778289661,0.8281343984289485,0.9748719387590555,0.1990399117768323,0.09977157668508067,-0.007510489090334958,2.617993676107787,0.26540965844333897,-0.041132914394623306,7.9062868841800045,7.682030922583273,7.732161614012812,7.856156515848959
0.21925841648378153,-4.9681319968034865,4.447111163522111,1.3068402922760545,0.4386672388764618,-0.8208001964842624,1.0588465585430662,0.9615407689337466,0.2545706454120872,0.10223609657974443,-0.013519187367122036,2.617993433827086,0.00426661766350349,-0.0367362666974716,7.885054103080655,7.812602938011044,7.863375487093447,7.834284525457731
0.2631100997805378,-4.9457893184149775,4.402370648050689,1.3576664068553987,0.5789722238081743,-1.2319471715489512,1.2514939774775042,0.9453681970352268,0.30923363481909294,0.10123258214325351,-0.02016316911291461,2.6179912056921513,-0.028247754377542594,-0.03228344213599944,7.340458512602263,7.329306799742893,8.183067384793807,8.093338912377552
0.3069617830772941,-4.917523932575439,4.3382389194697,1.4157245682792179,0.7089600037025837,-1.7016043608038207,1.389660208268334,0.9307668046428306,0.35063297499854074,0.10047093439247881,-0.02522107644406201,1.4132335428336946,0.030676719197026296,-0.02785965471006787,7.052914055595532,7.016719684246357,7.977111879202087,7.912241115511705
0.3508134663740504,-4.883764278136863,4.252978617861929,1.4787329442873156,0.8305011833279132,-2.189842083800926,1.4814453584261804,0.9249217638418546,0.3654719883066835,0.10109674057467777,-0.027026557408652004,0.048690345169816567,0.052180590092082306,-0.023427761071538107,6.98318075603156,6.938164196996811,7.4727459987329015,7.4174445226247485
0.39466514967080674,-4.844772712738456,4.146553173406217,1.5451734194219977,0.9483080709938558,-2.6628539334784205,1.5497980391238761,0.92728282623109,0.3590707491252356,0.10258729711870201,-0.026306772358770054,-0.677813261339814,0.059893177977001034,-0.019028631920411963,6.855772392028177,6.816964559890183,7.032270136029363,6.971905204614683
0.43851683296756305,-4.800638381511478,4.020042474982845,1.6143934659915304,1.0653732187118645,-3.1041200031241334,1.6096821099546466,0.9332901876791377,0.3427099264963005,0.10454904095020613,-0.024305628401188065,-0.9263476823053639,0.07605937034562005,-0.014679727010418746,6.650525759341161,6.607255095656255,6.6856928668862405,6.630580468629897
0.4823685162643193,-4.751364986367137,3.874979008155129,1.6861464930465229,1.1827727322882862,-3.50850247529413,1.6655279575079445,0.9400209014637616,0.323246391933047,0.1067732945265226,-0.02177832792831133,-0.9702097369786559,0.08494017542288222,-0.01036545014108102,6.397576424312628,6.352869248609903,6.402888923860981,6.349124935055233
0.5262201995610756,-4.696934954863631,3.7129920023109833,1.7602567386539265,1.3005373062790082,-3.8759198414301825,1.716994900811114,0.9464754778310748,0.30318834890474444,0.10909154786063845,-0.019044222984595092,-0.9713861354482033,0.09173243173368278,-0.006047304487030388,6.130545612955333,6.086266316018459,6.1518515218116505,6.097681176592989
0.570071882857832,-4.63733723233661,3.53567451873526,1.8365045237496396,1.418429446423567,-4.207690314603626,1.7627964379856105,0.9525618888883306,0.28273637026699344,0.11148333474161749,-0.01613360972625862,-0.9959226858329788,0.09914994510046138,-0.0017300975550166957,5.869802609511852,5.827493043702837,5.914911790770381,5.859030937002863
0.6139235661545882,-4.572570237656066,3.344562997425935,1.9146201528587938,1.5362804388782063,-4.50494117533439,1.8020237281922185,0.9584159302962075,0.26130329446829886,0.11399201256388534,-0.012970284293464068,-1.0533976720993472,0.10932714302544402,0.002575747427945555,5.623245296492709,5.582253605766782,5.687014078530332,5.630310298932273
0.6577752494513446,-4.502636907164035,3.1411561477888186,1.9943054071733117,1.654049221034345,-4.76826143471451,1.8342634316841988,0.9641246450157198,0.23825665703368903,0.1166645305623698,-0.009470073952097256,-1.1372515356396597,0.12110969377964977,0.00685989010630305,5.397727173787984,5.352512343199205,5.464086811580287,5.412932389620522
0.7016269327481008,-4.427540476450742,2.926936738465851,2.075251589493054,1.7717350847069167,-4.997829566418972,1.8594136008364754,0.9696707248733157,0.21318137985874375,0.11943093536794017,-0.00560203642172797,-1.232319404085701,0.12556289175212781,0.0110858736399337,5.18352386985971,5.143391681824841,5.259564564795732,5.204892440259645
0.7454786160448571,-4.347286008206596,2.7033839794993817,2.157148990332472,1.88926000797494,-5.193662009684001,1.8774999320346477,0.9749413272378419,0.18585365712222854,0.12226463949079508,-0.0013460008861990694,-1.3354569465541586,0.13646587423379347,0.015243229480977349,4.990428456056914,4.951130116149659,5.067442151178358,5.01363328327255
0.7893302993416135,-4.261880866396865,2.4719782943520108,2.2396897184687266,2.006607176919001,-5.355703799972495,1.8885632526033849,0.9797595670936009,0.15615635501982092,0.12521118340228665,0.003321991013302547,-1.44007577599178,0.14734664037222672,0.019326161405779967,4.814974949061046,4.778574956515287,4.8950595415007045,4.840438127930686
