t,p_x,p_y,p_z,v_x,v_y,v_z,q_w,q_x,q_y,q_z,omega_x,omega_y,omega_z,u_1,u_2,u_3,u_4
0.0,-5.0000000000000435,4.499999999997218,1.199999999999579,-3.1733938236101805e-13,-3.5546301785414093e-12,-6.545629448173704e-13,0.9999999884108285,2.7194625893442083e-11,1.0096389630624559e-10,-9.898942790349549e-12,3.01950363954557e-13,1.1647716251484299e-12,-2.223688289482608e-13,5.957580798717001,7.810284035027182,5.837695306188931,4.468592893214314
0.04422646879610129,-4.999882886191674,4.499874620288488,1.2033965257106667,0.01057637129359497,-0.011336683251393045,0.15328818665406563,0.9992286982581942,0.028938711580905878,0.026992563371918632,-0.00023558062709444323,2.6179930580133846,2.4392671032495463,-0.02135093720568092,6.983826548323184,6.269138901945351,6.075161090072685,7.177804790610579
0.08845293759220257,-4.998202663900352,4.497996726855243,1.2147634962677047,0.07355503302076197,-0.08594569514450832,0.3585415769068485,0.9941414882142898,0.08664739101021597,0.06563962733448139,-0.0016294421553988245,2.6179927326295993,1.062635850756491,-0.038472296538433225,7.427654661269903,6.962953201451013,6.7685303363495315,7.622078739063424
0.13267940638830386,-4.9927481363561235,4.490930744198661,1.236052711836662,0.17542974480882062,-0.24676054059828897,0.6006458186186444,0.9865336701125351,0.14394515532449986,0.07786503755875548,-0.005601403851589099,2.6179918174851924,0.06207125712001599,-0.05564872779731262,7.177157658831301,7.974226526279749,7.768384956801153,7.383002563687874
0.17690587518440515,-4.9824531362111015,4.47475975265529,1.2682980202161223,0.2919267584212173,-0.49792966360266977,0.8522146465180411,0.9755793346495003,0.20075204150757106,0.08867055715133808,-0.009707936184156836,2.6179892952608887,0.958749435771884,-0.07386083751047118,7.505442989238691,8.035635279521232,7.786214671577016,7.754864522847669
0.22113234398050644,-4.966479654027279,4.44555668356799,1.3112385466715006,0.4355913681829923,-0.8356571504750839,1.0817736219477692,0.959683509284808,0.2568833087427335,0.11356530926155851,-0.011354979243154132,2.617988569961008,1.3854061378181144,-0.09598070475262051,7.705942905774935,7.860731071327063,7.538023796562801,8.028659829685166
0.2653588127766077,-4.943384001024332,4.399732546337964,1.3632325454525744,0.6140152270937284,-1.2485996994632798,1.2597312940461665,0.939657288103352,0.3118990050677178,0.13999252578844212,-0.013151318434874083,2.6179809835761407,1.1294960493097974,-0.12466013337453691,7.577425007169113,7.141680351274566,7.272329025499283,8.487754554326688
0.30958528157270904,-4.911912095497038,4.334360408451182,1.421552159009515,0.8100876745056182,-1.7170413467839842,1.369094492002664,0.9215206911495782,0.357403268048564,0.15070468020320865,-0.019686590816258714,1.8324310820248102,-0.11944172556808413,-0.15932381976945992,6.621028853225921,6.621265008399425,7.843981904821864,8.3662721962209
0.3538117503688103,-4.871984511097959,4.247635519064292,1.4834439620626019,0.9932274307799018,-2.207798529881006,1.4275744392686476,0.9167628836946248,0.371060197864122,0.14532939699701597,-0.028089488782590988,-0.41563859223014593,-0.513154082759045,-0.18243945716575222,6.933543787373884,6.627445056001759,7.1266022077563935,7.71905288607475
0.39803821916491156,-4.824416329910215,4.139539412572746,1.5475977376700372,1.1544257883152933,-2.677409609756974,1.4776045354309846,0.9264429557900125,0.3514916976411444,0.13008477334539137,-0.03599690806425603,-1.3861701481608528,-1.1935734556436453,-0.1949388359119231,6.724198155865179,7.129149444797044,6.749734847197182,6.8189757105509194
